,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,device_watts,kilojoules,average_heartrate,max_heartrate,User
0,2,Afternoon Run,5982.3,3023,3081,217.9,Run,Run,0.0,14448055029,2025-05-11T14:39:28Z,2025-05-11T15:39:28Z,(GMT+00:00) Europe/London,3600.0,,,,0,1,0,2,0,False,False,False,False,followers_only,False,,"[55.919338, -3.210083]","[55.919195, -3.210035]",1.979,7.4,80.4,False,False,False,164.1,75.8,15415100671.0,15415100671,b13b0144-6d68-4a91-b7c6-46d36f5cd0a8-activity.fit,False,0,0,False,30351079,1,a14448055029,qwhtI|gqRGWOeCCIMEAGC@Sq@BUHY@[JONa@HKLCLs@CeAK]I{A@m@CsCGYEAAEBCJBBvBMOCGI@?DDC@IGWRuAIS?]]d@AFE@AFGEAJ@MADIESu@N_@@Wg@a@KWScAEgAOq@?e@Fc@CU@YEWUo@MeAJwBAsAMw@Qs@WmCU}@DADZ@OIi@Cu@OeACe@@c@Eu@B{@Jk@Bk@Cw@@a@SSAKH{AGSAIH@Ag@BKHGF}@Pe@JMLAFU@YDIHEPDB_@HGKLKAQi@UW?JRDSOSUIq@?g@RsATi@Lo@Lc@?uAEc@JeAOW@UGW@SDIFe@DoBE?@b@It@Mf@ONSGg@_@kAs@WCWDYdAEf@@d@CF@Ma@x@@@@EIRSvAKZIBQEOOM?g@j@u@GSP{@PSLG?_Aw@c@MEBEVDA?FQXG?BMFAFRM`ASv@It@CFI?k@kAI_@Qa@Y]Gg@h@}A@KIABHC^Do@Tu@Lk@NOPaA?CECPQ^E@MAS@S@HM\EHACOX?HFFHb@BBENGHECEHFDBRNd@?\EJG@YAD?ANDXFJDEADGn@W@EJATD@AXFb@AHW\CRFF?C?LDXLRJITBFHVN^p@RTABDPUWFb@KrAEXAx@Nz@Ab@PNH@P?BEAKA@?LFVB@@ICADGLHHTRnAV`@FP`@VHJBXCh@FHNIFDAHBTLHECK[SE@H@CCp@DtADTJJJCFOD[FAHW@q@Ek@Bc@JI\I?GD@CH@ID?DTB^Cj@@T`@p@BTDHXfA?^OZAT@BAEDCCDBRAKER@RNXRCJFERBJFYHAFLPJDKJaCJ]LSD[RIDYBa@EqA?o@Di@?]BWN]PcAEk@VcADeAJWNEVs@NEPYFUAKSA[YMFQEEYDUFQJKrAe@\SRD`@T?`@CJMF?EBCPHGIFEBLPDAh@Ib@@LHXLNDRNX?^AXG`@GJG\@XHZBx@?DG@EP?LIPAFSMGBAFC`AB`AMf@AJAVNVVjAAl@G^AjBEf@Ib@@|@JHCIE?ODCHECCG?UF[GIONCTDf@BFXXJCF@BDJd@Gr@JvAV`AD\Nh@BPEhALlABj@RrABp@AONL?NFh@?b@RjBBd@PhAG~@Wt@G@Fv@HXp@ZHJLl@DJAMBJB^Ab@FJ?VPl@NjADFLECPMVEx@DZP^Jn@HFFj@C\BRNPEREXIHAJEbB,2,,,,,,HQ
1,2,Morning Run,5010.1,1612,1615,86.0,Run,Run,0.0,14443864363,2025-05-11T09:15:44Z,2025-05-11T10:15:44Z,(GMT+00:00) Europe/London,3600.0,,,,0,1,0,1,0,False,False,False,False,followers_only,False,,"[55.950952, -3.170265]","[55.950069, -3.172718]",3.108,4.18,86.6,False,False,False,122.7,38.5,15410697352.0,15410697352,1c29bf0b-ac06-4372-ab59-b50f5fcfb91a-activity.fit,False,0,0,False,30351079,1,a14443864363,c~ntIluiRsA}MGy@QiAm@oFQkA]aB_@wAqA{Dm@}AMk@M_@G{ANwCAo@G[M[o@cAQa@K]M}@CcADyDKkA?i@DYFWj@s@Vc@Zw@Nk@^}Bb@uA`@cA\s@\k@Za@Rc@h@cAZ{@dAmAL[Ru@Zk@HGNAd@LPAnAa@XOREr@EREPIXEpAKrC?p@HZLZFRRR`@d@tANl@TxANhAZxDP~@Tt@Nt@j@bATP\LR@VGt@i@h@g@hAuAr@gAfAeAfA{@tAu@z@SP?LDb@\Vn@d@jCrAbDt@~BP^t@pBNp@RdBp@pBf@dCHlAHl@Th@d@j@Rr@d@hGFrABzCFnA?dACfAg@`F[zAcAjDUb@OPs@l@WFu@DKBKFYZUv@M|@C^?r@FrDC`CS`D]pBElASz@QrAWlAg@xD]pBIv@a@pCO`@Wd@[x@mAnDSv@Sh@Mj@Q\g@p@m@h@{@bAm@b@aAXkA?u@CoASi@OWM_ASu@Yy@e@i@_@Uc@{@y@a@m@Ym@,2,,,,,,HQ
2,2,Hill sprints,5500.0,1980,1980,0.0,Run,Run,0.0,14455001735,2025-05-06T11:08:44Z,2025-05-06T12:08:44Z,(GMT+00:00) Europe/London,3600.0,,,,0,0,0,1,0,False,False,True,True,only_me,False,,[],[],2.778,0.0,,False,False,False,,,,,,False,0,0,False,30351079,1,a14455001735,,2,,,,,,HQ
3,2,Morning Run,9000.0,3180,3180,0.0,Run,Run,0.0,14455018631,2025-05-02T04:02:34Z,2025-05-02T05:02:34Z,(GMT+00:00) Europe/London,3600.0,,,,0,0,0,1,0,False,False,True,True,only_me,False,,[],[],2.83,0.0,,False,False,False,,,,,,False,0,0,False,30351079,1,a14455018631,,2,,,,,,HQ
4,2,Morning Ride,41688.6,9807,14407,508.6,Ride,Ride,,14178229797,2025-04-13T08:14:42Z,2025-04-13T09:14:42Z,(GMT+00:00) Europe/London,3600.0,,,,0,3,0,2,0,False,False,False,False,followers_only,False,,"[56.200369, -4.527896]","[56.195751, -4.119411]",4.251,12.4,,False,False,False,258.8,24.8,15132305047.0,15132305047,stripped_accepted_tag_from_15130684109.fit,True,0,0,False,30351079,1,a14178229797,wm_vIn`sZfB}D~AkGhC}EdAyDpDsExBqJpF_QzAsBxCeCjAkFfBgLx@sBrBcB`AsCNmDs@oDE{EVaFdCsQ^_O~@gHrDoNn@yHdDqTb@yV?eUt@aWbBsTu@_Sz@yMbBsEp@yFcAqFHsNvCiP~@w\p@cG|@eDRyG|EuIvBEb@}@ZqE?}G~@yLk@gJoBwFJqMZeJ^aCoAqMA}FvBqTkAuICwBh@qFFkOa@gCMeHg@qCTiCYqBdB{TlD{D\yEdDgIRuMo@e@Cs@DkPyAi\EmTnBwV|AyGvG_d@fC}Xp@wC~@JBc@eA}@kCmQk@eAy@T{AdEQhCq@t@Q`D{A_DOyBq@uAoA?{BpA{DaC{Cp@cC{TKiIUs@}C|YsAx@DXsE\eC{AcBiCc@qBoEaJk@gGj@_NEoK]w@oDfGoEToDlMqEbEaAtHcAvLi@jBiA`BwD]uCtHYnC}EfT{@~@aAo@}AcE}@eL^iPOaIX}A_CgE[kGm@gAmC}AcDi@k@j@aA~Dc@V?mFb@gD|AcDnBKlAyAb@kGD{L{Fwb@[}DuAq@{Cv@cBgA?oBhAeCr@}E[wVUo@e@L{E|Ka@Bm@wAu@aC^iEIuAqC}LwB_GqA_BkAK}CvCqAbJMtT^rGOBd@hDc@pFEpIt@|JLfM_@zGsApE[Qg@kDuBoHwBsL_FiM{FsFkBi@sEeHT}KaBcPXaJxAcOpAeFAyB_C{EyAQoB~@{ErHiC`HYdFqA|Eg@pEcGrRy@~Il@om@^_GGuG^gDNyHo@aOPeKaBoCd@cF[g@HaDj@kGq@eL?uPK}@uAOtAyDj@yGeBeHe@uKnAqIh@sIEgC~@wG~@cCdAwPfGyGvD_QuAyX{@aEr@wGAgHaCcMeA_CXlA[t@R}@g@_Eb@mDl@kAZyH~AeCpAmXrAoIHeJe@_DqAwUmBcMeDoFyDgMyGgLmAaRqEmYoGwOyDsFy@cJ{BgO{AoEaCaB_FeAwEqD}BsCiFqN{JyJcC_AmFcEqOaTo@oGo@mQqBkIoCyPQgUn@yKiA}FeE{[i@wOF_FqB}]k@}ViMyGeFsA_BuBuAhDKv@ZVm@n@PCDPSHX{@YAT_BrEc@bRnGzCiIrA_LrN_RnvAcu@vIaI~Eq@nAsAtAyGY}S_@oF@gGfFwQpBuN?uHnBuKfA{RPsRnD}YnAwUxAwEnKoPjAuC`@eVzCmGzGa]o@yJ_@mMRsCxLu_@nLg\tBwNtGcLv@yF~DeCdHiKrDiI`K}K|HwZ,2,63.2,False,620.1,,,HQ
5,2,Lunch Ride,46897.9,10068,20147,391.0,Ride,Ride,,14178225964,2025-04-12T10:44:54Z,2025-04-12T11:44:54Z,(GMT+00:00) Europe/London,3600.0,,,,0,2,0,2,0,False,False,False,False,followers_only,False,,"[55.953992, -4.579767]","[56.213466, -4.542548]",4.658,12.529,,False,False,False,191.8,3.6,15132301103.0,15132301103,stripped_accepted_tag_from_15130675911.fit,True,0,0,False,30351079,1,a14178225964,{yotIdf}Z}CiDeAwC}@y@i@yAuEcBgE]OoAm@i@]jAoBVgA~G{AhDoCfEoAW{AmAiFs@_FwFeDaGk@Mu@lAi@bKu@|E}AfGmCbHaChEyBdCgDx@iDkAcC}BiFoDaC}@}CkCs@oAq@oCOkCFsEMUwBGcA`K}CbIcCfBgC]{AwCkDcUgAuBwBoAyHt@_C]oCyDoCyHiAy@oCCsInBqBjEyBfJ{@tAw@VsAi@kHwOcGqFeQA}JjBgDlFwCpPq@xAoQnRyJ`GZ~C}Fv}Aa@|AqBnEwHvJmD|GwDxLu@vAkDlFeJbKaMvK_GuAmF@}Bv@FXuAfHeEhFiAhDmFzJoErWaC~\kAjKsDpOkCbGeDhEyGxEuAX{BWyB~AqJx@mIfC_D`B}CxCkQbUePlGcFjOmAtByBjBeGrB}VzCmT`A{JFqc@mD_YH{@j@kL]}F{AcEKkI}AsCkAmGoF_KqOaHkFsD}A{CWkIvAmJHwCe@eGfB_G{@aEH{LgCsIuH{BeAkA@kChAsDbEuBpFwCpFqGhF_DvA}DkAaGaGu@V_C~CiAh@iTqBeKGcOcDaBt@BXUk@JNd@kAuCu@sF_D}Gc@oFz@_EdBaS`PcHnEqGnHyIfNgMxMaHtFqRrGcP|DmGvCaAMoD~AwD`@uChC_NxGwJzGmHhDgK~CyEzDkNxIoAGcCpABu@Kb@B]c@n@mHjAq@lBg@b@uErByAUaG|@sIrBiCfBsN~P_HjCiD@qI`HaBp@}D@wBmA{GmJgH{SuI}Je@QuD~Bi@nDu@bBoApBuDrDwFtLe@zBOzF_A`IUdGa@hAuKbMy@zDSxJe@hB}@pAgEpEsDt@cDdHiErCwFk@uAfBkAb@q@q@s@qCsABwAjHcB`GgBhJm@rAeDpAw@x@qMlTwDzDcAhC_C`DqCjHcArAwBpBuQxI}NzBgG`CwHtKaKrHkFlG{ElHgNtOi@_Aa@yC[[c@Rw~FosCiDVe@a@EoA^qAtCgAN}EdBaCl@yDEs@qBkGiCqSRQQFo@yGmBqIuB{DyF_@eDgC{FaP[sBo@wMbBoLn@kVm@cLqCqRAkEi@yGHeGMoGvAqM\{J`A}Ct@cGpBkh@e@aLgH}s@vAsg@Gqv@_I_r@aEyOiCuXiJyn@s@{M{AaDcIoHH}@a@wI{AwI]cJk@SjTlbAnAfIf@@pOaIzMuJdG{BdFmF`FaKNoDcAoMJ}Gn@sEzCkJjI}QtHyLzFoLnQoXpC}FjBuAnE_BpF{GxDyBbGqF~G_EvMsKlZiY~NaI`BgCzEuM`FcETDtFwHpGeA,2,61.1,False,615.2,,,HQ
6,2,Afternoon Run,5171.5,1514,1529,22.3,Run,Run,0.0,14087547519,2025-04-05T13:31:56Z,2025-04-05T14:31:56Z,(GMT+00:00) Europe/London,3600.0,,,,13,5,0,2,0,False,False,False,False,followers_only,False,,"[55.958996, -3.211891]","[55.963045, -3.214157]",3.416,13.242,86.4,False,False,False,36.5,18.7,15037479255.0,15037479255,fab765af-173b-4329-ac07-112f1e4d286e-activity.fit,False,5,0,False,30351079,1,a14087547519,olptIh{qRRQ\g@JGFIH?BCTa@REBEDYFMA]BQAI?AB?AGGEMEe@e@c@Qq@a@Y]We@GEKCa@]OUYe@QQY_@E]Qi@]s@UoCG[CAEu@Ki@@UYiDCi@?SGSA]DKKUKuACoBAKQ_@OsAQm@AU?]EK@m@A]WcCKSOq@Cm@Kk@O[GiAO_AEMAOPo@ROJCVWHEBMCo@PuAH[?]Be@C_@I]Oa@Ik@KQIAGBq@\q@z@MTcAt@qBrBaCCq@L~AsAf@]@?CHEDMXg@h@g@r@EBM?QDKPy@r@STKFGLKFo@N]TETE@YF[KO?SLQAQFQZYR]b@g@RSBKFw@l@K@KDSAYJM?EEQNq@RWXKBa@EK@QCI?YHi@v@k@TYKU@WLUROFYZg@RMR[VUFMBYIWAWJQBEGUEI@]Xe@P}@Rc@b@OFc@HYPUFM?YDc@PMDQAcAXCGE?Ml@IJGBQNMFc@@y@ZQ?EAKAQ@i@RW?[L[DQFKAQDIJ?JFv@n@hCJHFXP^Hp@HhABNNX^l@Pj@PfB@`@IX@l@X~APb@\|BBfEP`ABbABH@?B[Ak@Ju@j@Q\_@RAHMP?FIHEH?DEV?BMHCPDZ`@PBLPDE@F?^FEDzAF?E~@@RE^APF^JVBVBDF?EvABtAAr@@tBXzFZlELhD?bADbAHf@DPDBD?DOB?H@LDD?RKJCLBFA^QDC?YDKVUR[Ne@Jm@|@xAHDL?LENIZWRETDDAD@PXXF^Cn@?|@U^B\Kf@]f@CPE\URUDAHDZKV]PGHITMREJGRCx@i@VSd@YNE,2,,,,,,HQ
7,2,Morning Run,8101.3,2513,2653,43.7,Run,Run,0.0,14075071022,2025-04-04T06:12:58Z,2025-04-04T07:12:58Z,(GMT+00:00) Europe/London,3600.0,,,,5,2,0,1,0,False,False,False,False,followers_only,False,,"[55.95897, -3.212416]","[55.959204, -3.213024]",3.224,9.327,85.2,False,False,False,36.4,9.3,15024339393.0,15024339393,d2f7c839-2340-4a9f-85b9-32be34eb7bda-activity.fit,False,0,0,False,30351079,1,a14075071022,{mptIx}qRHk@TO\c@fAaBP[^sA?KEKKG[Oa@Ye@UIMe@_@OIi@s@c@c@a@QIIc@}@IYUa@K[OyAGoAFGAEIYSQKSAK@UO]Ac@CQ@SH]@YAy@Gg@@QCa@Gk@K_@AI@CM]?UAQDUAKU_BAUSkA@ICSOc@BE@AAm@Ge@?YKs@AIDMQiAD_@?OG_@Wu@Ow@CEQAO}@@{@PULIJQPMD_@NOBM?}@P_BAq@@S]{BEMIIQEa@FgA^SR]t@CXIVIjAGXAXGhAH`@C^uCuEG@c@\[`@OXKDKNODONKFSRIDWXu@d@sAn@YHq@\i@N}@^e@ZyAr@QNWFgAf@g@H]L_@Dq@XYT[Hk@XY@WHo@Fk@EK@UJED[Pw@l@y@\y@TcAHQN_APi@TOBc@ZqCn@MNQz@ALBCBDEFGIEMCgAI[EcAGi@EIMcAIkCK{@GBCM?o@Ie@OQQ}@KwBKg@CiCWcA?{@KqBA]BOAKWEGEMOIGYDW^i@Ji@Xs@PiAf@s@NMPe@L[N}@Ri@XMPeAXMLc@L]Tu@`@e@H_@?kAT]?YPk@Hs@X{@Da@AIBYPwA`@YAEGMGOAKTGDKGK@O\IBMLU@ILCVGJGEQE?NHZ@xAHdAARF~@L~@JtBB|AThFDhB?`A@JEn@@~BErAa@vDCl@Br@Jp@@\]`CKlDKzAM|D?TItAIxDAv@BRGf@@`@IvAOlJRtBNp@Dh@J`@Ht@Jb@ZvDDLH@DNJbAFRBBFAACCp@DR?`@Fl@B@BE@@HLJCHSBMT]FW@gACOCe@MQICEI?QBY@EHGfAf@VBJNTFDHGJH_@PVJw@@EFC\Dp@GhEy@v@Ub@EjCs@dBYPENQV?LMR@PHFARI^EBCHMf@APK~@O^BRMTCh@Qb@CJGjB_@x@UTCb@@LEn@MDG^ETBXKN@n@Q\SHK?CB@BH@OCJBAHK@F@CDAFDFR@CAh@FzAJhAHzB@HFFPG^WPCLInBc@vBsAVK~ASVDd@I`@?^D`@KJB|@c@XGVMd@a@XQB@?VL\D`@HBFAl@eATOTKp@{@VO^GPMPA^Ov@k@f@B\KP?^b@d@\DFALBHZCL?TPTF`Av@|@Td@d@v@Ld@V\Ah@TRTJEPaANWLA^F,2,,,,,,HQ
8,2,Evening Run,5096.6,1465,1484,15.8,Run,Run,,14071169715,2025-04-03T17:28:12Z,2025-04-03T18:28:12Z,(GMT+00:00) Europe/London,3600.0,,,,0,2,0,2,0,False,False,False,False,followers_only,False,,"[55.959486, -3.213204]","[55.959087, -3.212549]",3.479,11.04,,False,False,False,25.0,18.7,15020258203.0,15020258203,stripped_accepted_tag_from_15019764653.fit,True,0,0,False,30351079,1,a14071169715,wnptIrcrRJiA@k@Fc@FYDILMb@_AXWP[Rg@\a@Pe@Je@?MOSICMKMGIO[SMAUUU]KEi@{@u@k@y@sAK?s@{BKcBYqBB]Cm@Mo@?YGm@K_DK}AEcAS}@a@cFFS?k@e@gDg@cC{@_FK{@?GDCCAAA@DKHMTdBgADIJi@AaANaA@m@CUDGDHi@qAEo@ESOEKAGM?OIAIKMbAIFi@P[NKB_A^MLy@vAKLG@[CQBm@RGAQXk@j@aBpAY\GNIHm@^QDQJc@^KDQJE@E?CDM@ODk@ZKJUFeAl@QFSCq@n@q@PUB{Af@cA`@e@F}@^qBf@c@Pi@N}@d@ME}@d@s@LGI_@X]Lc@Jg@PKFKDCFCTCH?YDCLA~Aw@^G`@MHKn@Of@QN?XOd@c@RIvAWbCi@n@W|@g@p@WZG^Q\En@QLGZ[VE|@[n@[d@O|@_@^Sl@_@b@Sx@m@TYNULGp@k@DUDy@TUBAVLB?t@e@PQr@Ix@[VI\APFGEFBDCLs@xB_APCJ@DBDJLr@b@lAF`@Eb@ER?CIl@@v@Cj@GLSFe@\OPMZVxANT\dBD^J^H|@CVHZD@BDF`@Bl@DJ?VD\FJ@E@DBXE`@F\BdBHj@Z|EH\HnAJ`A?Td@~Dd@zFNd@Hb@HNDd@LTLJNBHFPRZVNXn@h@DA?IHQP`AFLTJf@h@LJJBHX@JKRETO`@MRKFGRa@p@}@~@OXGj@,2,,,,,,HQ
9,2,Evening Run,5020.4,1540,1609,15.9,Run,Run,0.0,14062349828,2025-04-02T19:44:09Z,2025-04-02T20:44:09Z,(GMT+00:00) Europe/London,3600.0,,,,8,2,0,1,0,False,False,False,False,followers_only,False,,"[55.959175, -3.21285]","[55.959084, -3.211714]",3.26,15.553,82.2,False,False,False,25.0,18.7,15010966868.0,15010966868,e35e981c-364a-4e3e-b201-cc86e245d374-activity.fit,False,3,0,False,30351079,1,a14062349828,knptIt`rRDqAJa@FMx@aANW~@sATo@HYAMIMeBwAOWqAkAeAsAg@q@GMg@}AO_B}@mI_@wEOaAAk@g@cGMs@FUAi@Mm@a@kDO]?IBIQUE_@GY?IJ_@?M]wA?KBK^]XSFWLKBQGs@@UDi@Hi@Dy@U}@MaAGMEGIEWEI?y@^c@JwAh@QLH?v@WmDzBaAf@OLkAxAgAhAe@ViAt@_Ad@G?AGC?EDEXGBOAi@\mCbAi@\{@^qBd@}@XOBEOSVCNm@H_A\uBl@O?_@Rw@R}DrAq@Ni@RAB?BBAFDRAJSLIBIFEF[N_@LCJE^GXFDIF?HHJBT@FED?NRFQFKTMFCN@TETI`@IVUlAg@nA]|@]XANIp@OVOr@MtAc@`Bq@ZStAm@ZIRIHH\a@JIn@Yn@i@PWjAkANKRW`@SX[l@_@d@c@PILKNCJITIDCBKuAp@~GkD\GDE\HFHHlAXfA@VATWfBChAEXIZWLG@WJALNh@Jr@?RDx@R|@PhATv@`@|DFXJDFNMJA\HtA?ZFj@?`@`@rD?\ER@|@HtAXvCHlAHd@B|@PtBRl@BDD`@JHF\L?LFbAtAjB|AXJPVPH^`@h@^DLI^KTc@h@URe@x@WX,2,,,,,,HQ
